No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	6	100nF	C1,C2,C3,C4,C5,C6	C0402	100nF	CL05B104KO5NNNC	SAMSUNG(三星)	C1525	LCSC
2	1	22uF	C18	C0603	22uF	CL10A226MQ8NRNC	SAMSUNG(三星)	C59461	LCSC
3	1	10uF	C19	C0603	10uF	CL10A106KP8NNNC	SAMSUNG(三星)	C19702	LCSC
4	1	1Ω	R12	R0603	1Ω	0603WAF100KT5E	UNI-ROYAL(厚声)	C22936	LCSC
5	2	4.7kΩ	RN1,RN2	RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL	4.7kΩ	4D03WGJ0472T5E	UNI-ROYAL(厚声)	C1980	LCSC
6	2	M3螺丝	SCREW3,SCREW4	M3螺丝					
7	1	DSHP08TSGER	SW1	SW-SMD_16P-L11.7-W5.4-P1.27-LS8.5		DSHP08TSGER	康深	C3293147	LCSC
8	1	AMS1117-3.3S	U1	SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR		AMS1117-3.3S	UMW(友台半导体)	C347256	LCSC
9	1	PI3EQX7502AIZDEX	U3	TQFN-24_L4.0-W4.0-P0.50-BL-EP2.6		PI3EQX7502AIZDEX	DIODES(美台)	C526708	LCSC
10	1	host	U11	USB-3.0-A-TH_HOOYA_USB-303L-L-SU		HC-USB3.0-L257-P	HC(虹成电子)	C7501847	LCSC
11	1	GSB412137CHR	USB5	USB-TH_9P-P2.00-V_GSB412137CHR		GSB412137CHR	Amphenol	C464567	LCSC
